liam,16,121420
liam,15,107731
liam,15,106481
liam,13,80021
dominic,12,68930
Jimmy,12,67065
Jimmy,12,66732
liam,12,66596
Jimmy,11,57569
dominic,11,57390
Jimmy,11,56456
HalfLeif,11,56135
liam,11,55936
Jimmy,11,55723
Jimmy,11,55505
liam,10,46820
samuel,10,46410
Benji,10,45676
samuel,9,37444
Jimmy,9,37376
Jimmy,9,37284
dominic,9,37284
Jimmy,9,37245
liam,9,37238
sam,9,36498
samuel,8,29706
Jimmy,8,29515
dominic,8,29371
Benji,8,29065
liam,8,29059
Jimmy,8,28797
Jimmy,8,28739
samuel,8,28578
Jimmy,8,28548
liam,7,22886
liam,7,21975
Jimmy,7,21962
Jimmy,7,21810
liam,7,21791
liam,7,21685
dominic,7,21653
liam,7,21634
samuel,7,21634
samuel,7,21583
liam,7,21414
samuel,6,16003
liam,6,15988
walter,6,15973
dominic,6,15948
Jimmy,6,15912
samuel,6,15866
Jimmy,6,15789
samuel,6,15731
HalfLeif,6,15689
liam,6,15581
liam,6,15527
dominic,6,15494
Nils,6,15450
dominic,6,15405
dominic,6,15394
dominic,6,15366
liam,6,15355
walter,5,10856
liam,5,10836
samuel,5,10794
Jimmy,5,10760
samuel,5,10692
liam,5,10683
dominic,5,10569
Jimmy,5,10493
dominic,5,10471
Jimmy,5,10462
samuel,5,10448
samuel,5,10444
liam,5,10444
dominic,5,10430
Jimmy,5,10416
walter,5,10314
Steven,5,10267
samuel,4,6909
walter,4,6853
samuel,4,6655
walter,4,6567
samuel,4,6567
samuel,4,6501
Jimmy,4,6455
walter,4,6387
dominic,4,6333
samuel,4,6322
Jimmy,3,3934
walter,3,3548
walter,3,3399
samuel,3,3397
walter,3,3365
walter,3,3344
Jimmy,3,3290
Jimmy,3,3260
liam,3,3103
walter,2,1494
walter,2,1394
walter,2,1317
gregory,2,1219
walter,2,1184
Jimmy,2,1148
HalfLeif,2,1122
Jimmy,2,1057
gregory,1,403
walter,1,127
walter,1,100
dominic,1,24
test,1,22
